,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
13,APOLLO 265 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,4.44,1.70,1.62,56-58
269,EYMU-05 6 III 1(1) #7,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,844,844,5,5.13,1.70,1.65,75-77
1413,WW T22 3AI #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.25,1.70,1.46,85-87
609,NBC 20.1.71 CO Upper GEOFF,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,4.67,1.71,1.42,"78,79"
747,NBC R 65/66 YI DAN #10,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.69,1.71,1.42,"78,79"
861,NBC R65/66 AO CHARLES #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.69,1.71,1.28,"78,79"
907,NBC R65/66 Y0 BETTY #15,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.88,1.71,1.09,"78,79"
939,NBC R65/66 YI BETTY#7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.57,1.71,1.60,"78,79"
1218,WW P20 3 #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,5.15,1.71,1.43,85-87
1336,WW S23 4BII #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.00,1.71,1.35,85-87
18,APOLLO 271 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,3.49,1.71,1.30,56-58
329,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.05,1.71,1.25,"60,67"
1177,WW O19 3 #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,6.12,1.71,1.85,85-87
1464,WW T26 3AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.60,1.71,1.55,85-87
721,NBC 8.1.71 BO EDWARD #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.89,1.72,1.56,"78,79"
1006,NBC XO BETTY #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.95,1.72,1.74,"78,79"
1155,WPS SQ22 70-80 #2,White Paintings Shelter,Botswana,Southern Africa,Newly presented,4100,4624,4624,4,4.81,1.72,1.65,"83,84"
1232,WW P23 4A #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.37,1.72,1.57,85-87
1385,WW S30 3I #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.28,1.72,1.33,85-87
193,EYMU-05 5 III 2(2) #13,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,6.03,1.72,1.49,75-77
312,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.11,1.72,1.02,"60,67"
324,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.08,1.72,1.19,"60,67"
869,NBC R65/66 BII BOB,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,3.15,1.72,1.12,"78,79"
1362,WW S27 3BII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.61,1.72,1.67,85-87
1428,WW T23 4AI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.17,1.72,1.38,85-87
1499,WW T29 4A+(B)? #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.80,1.72,1.49,85-87
442,HwJf2 J11 3NE #1,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,4.80,1.73,1.51,72-74
639,NBC 23.2.79 SQ8 WOTAN #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.99,1.73,1.23,"78,79"
689,NBC 79 HEARTH BELOW VAL SQ6 #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6200,4,4.71,1.73,1.67,"78,79"
703,NBC '79 SQ7 WHEELER #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.61,1.73,1.75,"78,79"
1462,WW T26 3AII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.92,1.73,1.58,85-87
150,EYM RBL2.2 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5265,6038,6038,4,6.22,1.73,N/A,63
373,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.16,1.73,1.55,"60,67"
424,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.39,1.73,N/A,"60,67"
647,NBC 28.12.70 CI LOW MID BERT #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,4.58,1.73,1.51,"78,79"
758,NBC R 65/66 YI DAN #21,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.15,1.73,1.37,"78,79"
765,NBC R64.65 EIV/12,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,4.50,1.73,1.54,"78,79"
843,NBC R65/66 AI BONNIE #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2085,2067,2067,5,4.56,1.73,1.55,"78,79"
1004,NBC XO BETTY #38,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.87,1.73,1.35,"78,79"
1292,WW R23 4BI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.18,1.73,1.77,85-87
1353,WW S26 3AI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,5.48,1.73,1.56,85-87
561,NBC /66 YI BRETT #49,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.90,1.74,1.12,"78,79"
894,NBC R65/66 CIII CHRIS #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.73,1.74,1.38,"78,79"
1352,WW S25 4BI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.43,1.74,1.42,85-87
1459,WW T26 2B,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.93,1.74,1.69,85-87
1470,WW T26 4AII #9,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.99,1.74,1.34,85-87
75,"DMB3 Unit1 L3 (21.8.12) ""from sieve"" #6",Daumboy 3 Rockshelter,Tanzania,Eastern Africa,Newly presented,9280,10620,10620,4,4.84,1.74,1.41,62
544,NBC /66 YI BRETT #33,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.97,1.74,1.43,"78,79"
618,NBC 21.1.71 BO Upper GEOFF #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,4.27,1.74,0.96,"78,79"
686,NBC 70.71 CII DAVID #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.77,1.74,1.48,"78,79"
883,NBC R65/66 BII DAVID #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.48,1.74,1.23,"78,79"
906,NBC R65/66 Y0 BETTY #14,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.87,1.74,1.36,"78,79"
1298,WW R24 4AII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.78,1.74,1.57,85-87
1448,WW T25 3AII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.64,1.74,1.62,85-87
638,NBC 23.2.79 SQ8 WOTAN #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,5.11,1.75,1.49,"78,79"
680,NBC 7.1.71 A-1 CEDRIC #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.25,1.75,1.69,"78,79"
1194,WW O21 4D #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,5.72,1.75,2.00,85-87
1243,WW Q22 3AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.51,1.75,1.67,85-87
1187,WW O20 4C #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.17,1.75,1.44,85-87
1349,WW S25 3B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,5.12,1.75,1.66,85-87
15,APOLLO 268 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,4.16,1.76,1.29,56-58
70,DKB1 003 DIII ? #2,Dikbosch Shelter 1 ,South Africa,Southern Africa,Newly presented,,,6000,4,3.82,1.76,0.85,61
179,EYMU-05 5 III 1 #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,844,844,5,6.27,1.76,1.37,75-77
588,NBC 13.1.71 Y-IV DAVID #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.49,1.76,1.25,"78,79"
640,NBC 23.2.79 SQ8 WOTAN #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.94,1.76,1.29,"78,79"
724,NBC 8.2.79 SQ1 REG #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5200,4,4.34,1.76,1.72,"78,79"
752,NBC R 65/66 YI DAN #15,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.22,1.76,1.66,"78,79"
889,NBC R65/66 BIII CHRIS #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.18,1.76,1.32,"78,79"
1045,NBC YII CEDRIC,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,5.36,1.76,1.70,"78,79"
1238,WW Q21 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.27,1.76,1.67,85-87
1394,WW S31 4A+B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.24,1.76,1.44,85-87
1422,WW T23 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.37,1.76,1.46,85-87
354,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.87,1.76,1.48,"60,67"
379,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.16,1.76,1.58,"60,67"
704,NBC '79 SQ7 WHEELER #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.52,1.76,1.77,"78,79"
961,NBC RRI DAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.58,1.76,1.23,"78,79"
1388,WW S30 4A+B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.56,1.76,1.42,85-87
428,HwJf2 I10 4SW,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,6.52,1.77,1.84,72-74
670,NBC 64/65 EIII A/3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2450,2536,2536,4,3.73,1.77,1.20,"78,79"
942,NBC R65/66 YI DAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,5.19,1.77,1.47,"78,79"
977,NBC XO BETTY #13,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.40,1.77,1.56,"78,79"
1253,WW Q23 4BI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.71,1.77,1.53,85-87
1294,WW R23 4CI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.04,1.77,1.72,85-87
1458,WW T25 4CII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.12,1.77,1.44,85-87
794,NBC R65/66 24.1.66 BI DAVID #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.59,1.77,1.43,"78,79"
1161,WW 4AI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.32,1.77,1.59,85-87
1424,WW T23 3B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.45,1.77,1.51,85-87
608,NBC 2.2.79 SQ1 MARY,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,4.85,1.78,1.66,"78,79"
698,NBC '79 SQ5 VADIM #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.77,1.78,1.78,"78,79"
714,NBC 79 VAL SQ6 #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6200,4,4.97,1.78,1.72,"78,79"
744,NBC EIII A/4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2540,2610,2610,4,4.89,1.78,1.70,"78,79"
985,NBC XO BETTY #20,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.78,1.78,1.42,"78,79"
787,NBC R65/66 20.1.66 Y0 CEDRIC #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,5.33,1.78,1.74,"78,79"
598,NBC 17.2.79 SQ6 HEARTH-VANCE,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.80,1.78,1.50,"78,79"
798,NBC R65/66 A0 BETTY #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.54,1.78,1.51,"78,79"
1480,WW T27 4BI #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.50,1.78,1.41,85-87
446,HwJf2 J11 6NE #2,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,5.73,1.79,1.68,72-74
1193,WW O21 4C #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.14,1.79,1.53,85-87
388,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.41,1.79,1.66,"60,67"
779,NBC R65.66 AI BOB #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.44,1.79,1.16,"78,79"
857,NBC R65/66 AO CHARLES #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.43,1.79,1.24,"78,79"
888,NBC R65/66 BIII CHRIS #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.26,1.79,1.22,"78,79"
898,NBC R65/66 CIII CHRIS #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.43,1.79,1.26,"78,79"
948,NBC R65/66 YIII CLARA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.22,1.79,1.30,"78,79"
1431,WW T23 4CI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.00,1.79,1.91,85-87
648,NBC 28.12.70 CI LOW MID BERT #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,5.19,1.80,1.57,"78,79"
673,NBC 65 5.1.66 AO BRETT #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.35,1.80,1.16,"78,79"
711,NBC '79 SQ7 WILLEY #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.78,1.80,1.60,"78,79"
740,NBC BO CEDRIC,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.81,1.80,1.35,"78,79"
746,NBC R 65/66 YI CEDRIC #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.57,1.80,1.41,"78,79"
905,NBC R65/66 Y0 BETTY #13,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.84,1.80,1.43,"78,79"
1512,WW T32 4A+B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.26,1.80,1.30,85-87
1467,WW T26 4AII #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.77,1.80,1.76,85-87
204,EYMU-05 5 III 2(4) #5,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,1812,,1812,5,4.85,1.80,1.58,75-77
389,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.28,1.80,1.66,"60,67"
622,NBC 21.12.70 A-II BETTY #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.83,1.80,1.46,"78,79"
702,NBC '79 SQ6 WILMA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6400,4,4.61,1.80,1.43,"78,79"
897,NBC R65/66 CIII CHRIS #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.34,1.80,1.46,"78,79"
1358,WW S27 2B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.47,1.80,1.77,85-87
1355,WW S26 3BI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.93,1.81,1.45,85-87
1410,WW T22 3AI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.75,1.81,1.37,85-87
1447,WW T24 4CIII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.16,1.81,1.87,85-87
342,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.22,1.81,1.35,"60,67"
556,NBC /66 YI BRETT #44,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.73,1.81,1.46,"78,79"
634,NBC 23.2.79 SQ8 WOTAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.90,1.81,1.72,"78,79"
756,NBC R 65/66 YI DAN #19,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.16,1.81,1.27,"78,79"
1184,WW O20 4A #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,5.29,1.81,1.53,85-87
1252,WW Q23 4AV #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,5.12,1.81,1.59,85-87
1488,WW T28 3AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.23,1.81,1.34,85-87
604,NBC 18.1.71 R70/71 YII GUY,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3300,4,4.59,1.82,1.65,"78,79"
641,NBC 23.2.79 SQ8 WOTAN #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.86,1.82,1.45,"78,79"
741,NBC CIII DAN,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.06,1.82,1.19,"78,79"
584,NBC 13.1.71 AO GUY,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,5.00,1.82,1.61,"78,79"
590,NBC 14.1.71 C-I GARTH,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3020,3207,3207,4,3.95,1.82,1.50,"78,79"
412,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.85,1.82,1.8,"60,67"
546,NBC /66 YI BRETT #35,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.66,1.82,1.63,"78,79"
967,NBC RRI DAN #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.30,1.82,1.33,"78,79"
1169,WW 4BI #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.36,1.82,1.05,85-87
21,APOLLO 277 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,5.21,1.83,1.27,56-58
119,EYM RBL2.1B #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,5.44,1.83,N/A,63
255,EYMU-05 5 III 7(11) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,7.43,1.83,1.95,75-77
1166,WW 4AV,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,4.15,1.83,1.39,85-87
856,NBC R65/66 AO CHARLES #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.46,1.83,1.51,"78,79"
903,NBC R65/66 Y0 BETTY #11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.07,1.83,1.25,"78,79"
965,NBC RRI DAN #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.45,1.83,1.42,"78,79"
991,NBC XO BETTY #26,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.26,1.83,1.25,"78,79"
1261,WW R22 2B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.87,1.83,1.82,85-87
163,EYMU-05 5 II (1) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,357,357,5,6.64,1.84,1.76,75-77
739,NBC BIII CHRIS,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.69,1.84,1.69,"78,79"
884,NBC R65/66 BIII BERT #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,4.43,1.84,1.09,"78,79"
1326,WW S23 4AI  #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.22,1.84,1.47,85-87
1334,WW S23 4BII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.57,1.84,1.42,85-87
1395,WW S31 4A+B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.97,1.84,1.22,85-87
253,EYMU-05 5 III 7(10) #7,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,5.36,1.84,1.56,75-77
681,NBC 7.1.71 YI CEDRIC #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.59,1.84,1.58,"78,79"
713,NBC 79 SQ8 XERXES,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5890,6711,6711,4,4.38,1.84,1.68,"78,79"
1037,NBC XO BRETT #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.02,1.84,1.82,"78,79"
149,EYM RBL2.1B6 #6,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4860,5601,5601,4,5.23,1.84,N/A,63
852,NBC R65/66 AIII CLARA #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.19,1.84,1.13,"78,79"
1275,WW R23 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.76,1.84,2.05,85-87
735,NBC AO CEDRIC,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.41,1.85,1.47,"78,79"
764,NBC R. AI CYRIL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.77,1.85,1.47,"78,79"
846,NBC R65/66 AI DAN #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.78,1.85,1.20,"78,79"
184,EYMU-05 5 III 2 #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.44,1.85,1.44,75-77
633,NBC 23.2.79 SQ7 WOTAN,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.85,1.85,1.70,"78,79"
975,NBC XO BETTY #11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.46,1.85,1.30,"78,79"
1449,WW T25 3AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.29,1.85,1.62,85-87
1516,WW T34 4A+B,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.20,1.85,1.53,85-87
1378,WW S29 4A+B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.43,1.85,1.52,85-87
69,DKB1 002 DIII ? #1,Dikbosch Shelter 1 ,South Africa,Southern Africa,Newly presented,,,6000,4,4.19,1.85,1.04,61
